;W:\MZKE001_A1p_10000_SN0\MKZE001_A-01_A1p_P3-A-1_01_84239.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-10_A1p_P3-F-10_01_84104.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-11_A1p_P3-F-11_01_84105.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-09_A1p_P3-D-9_01_84078.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-02_A1p_P3-A-2_01_84034.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-11_A1p_P3-B-11_01_84055.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-07_A1p_P3-D-7_01_84076.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-12_A1p_P3-B-12_01_84056.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-12_A1p_P3-F-12_01_84106.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-01_A1p_P3-G-1_01_84108.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-08_A1p_P3-B-8_01_84052.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-09_A1p_P3-B-9_01_84053.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-10_A1p_P3-B-10_01_84054.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-04_A1p_P3-D-4_01_84073.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-05_A1p_P3-D-5_01_84074.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-06_A1p_P3-D-6_01_84075.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-07_A1p_P3-F-7_01_84101.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-08_A1p_P3-F-8_01_84102.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-09_A1p_P3-F-9_01_84103.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-10_A1p_P3-H-10_01_84129.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-11_A1p_P3-H-11_01_84130.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-12_A1p_P3-H-12_01_84131.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-11_A1p_P3-D-11_01_84080.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-02_A1p_P3-G-2_01_84109.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-03_A1p_P3-G-3_01_84110.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-01_A1p_P3-E-1_01_84083.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-03_A1p_P3-A-3_01_84035.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-01_A1p_P3-C-1_01_84058.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-04_A1p_P3-A-4_01_84036.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-02_A1p_P3-C-2_01_84059.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-05_A1p_P3-A-5_01_84037.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-04_A1p_P3-G-4_01_84111.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-12_A1p_P3-D-12_01_84081.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-02_A1p_P3-E-2_01_84084.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-03_A1p_P3-C-3_01_84060.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-05_A1p_P3-G-5_01_84112.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-06_A1p_P3-A-6_01_84038.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-04_A1p_P3-E-4_01_84086.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-04_A1p_P3-C-4_01_84061.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-05_A1p_P3-C-5_01_84062.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-07_A1p_P3-A-7_01_84039.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-07_A1p_P3-G-7_01_84114.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-03_A1p_P3-E-3_01_84085.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-08_A1p_P3-A-8_01_84040.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-06_A1p_P3-G-6_01_84113.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-05_A1p_P3-E-5_01_84087.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-08_A1p_P3-D-8_01_84077.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-10_A1p_P3-D-10_01_84079.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-06_A1p_P3-C-6_01_84063.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-06_A1p_P3-E-6_01_84088.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-08_A1p_P3-G-8_01_84115.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-08_A1p_P3-C-8_01_84065.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-07_A1p_P3-E-7_01_84089.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-07_A1p_P3-C-7_01_84064.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-09_A1p_P3-A-9_01_84041.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-10_A1p_P3-A-10_01_84042.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-09_A1p_P3-G-9_01_84116.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-08_A1p_P3-E-8_01_84090.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-10_A1p_P3-G-10_01_84117.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-11_A1p_P3-G-11_01_84118.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-09_A1p_P3-C-9_01_84066.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-09_A1p_P3-E-9_01_84091.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-12_A1p_P3-G-12_01_84119.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-11_A1p_P3-E-11_01_84093.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-12_A1p_P3-A-12_01_84044.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-10_A1p_P3-C-10_01_84067.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-11_A1p_P3-C-11_01_84068.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-11_A1p_P3-A-11_01_84043.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-10_A1p_P3-E-10_01_84092.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-01_A1p_P3-B-1_01_84045.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-01_A1p_P3-H-1_01_84120.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-02_A1p_P3-H-2_01_84121.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-02_A1p_P3-B-2_01_84046.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-03_A1p_P3-H-3_01_84122.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-12_A1p_P3-E-12_01_84094.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-05_A1p_P3-H-5_01_84124.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-12_A1p_P3-C-12_01_84069.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-01_A1p_P3-F-1_01_84095.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-03_A1p_P3-B-3_01_84047.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-01_A1p_P3-D-1_01_84070.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-04_A1p_P3-H-4_01_84123.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-02_A1p_P3-F-2_01_84096.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-03_A1p_P3-F-3_01_84097.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-04_A1p_P3-B-4_01_84048.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-04_A1p_P3-F-4_01_84098.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-06_A1p_P3-H-6_01_84125.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-07_A1p_P3-H-7_01_84126.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-03_A1p_P3-D-3_01_84072.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-02_A1p_P3-D-2_01_84071.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-05_A1p_P3-B-5_01_84049.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-05_A1p_P3-F-5_01_84099.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-07_A1p_P3-B-7_01_84051.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-06_A1p_P3-F-6_01_84100.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-08_A1p_P3-H-8_01_84127.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-06_A1p_P3-B-6_01_84050.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-09_A1p_P3-H-9_01_84128.d
567.7s : 113.060m/z;72811;294473;186230;320666;396466;151561;237526;157880;199293;277823;327030;272226;240929;279708;244663;252365;262639;310655;272284;246401;0;77301;207537;169619;191426;227599;237276;264909;394487;306072;250457;248822;226181;305281;396694;253266;251573;271626;250182;248958;204520;253484;276649;284237;242322;203921;346786;321321;284429;220923;308370;291241;261668;291100;269973;227833;0;290240;307093;163458;309288;306735;181696;0;171278;278478;148708;156387;284598;311884;241376;166709;219471;269103;207894;272792;201451;225300;214356;222796;280021;223153;243396;292377;240653;202655;306544;269872;256796;0;257180;243724;207824;320875;194977;0
761.9s : 281.172m/z;226570;300894;149404;210124;450263;0;192685;0;212683;226469;142791;192985;239955;228088;163173;128958;158444;202208;195080;212401;146594;111102;84607;164966;238994;174630;325210;200261;341767;123681;150813;327277;0;183352;173919;154621;222814;225822;139987;156610;158450;217207;256786;170227;158716;202993;219050;297567;126124;142399;169248;129106;171163;223694;155000;181730;181678;183726;285292;103080;166422;269314;164817;0;90649;181867;116726;0;148874;217760;188230;243573;87707;164512;0;247743;0;169333;142817;207259;243473;161813;161405;125249;175840;275224;200680;141104;216674;0;156522;160301;209902;275625;105029;143267
936.6s : 475.296m/z;60064;44687;43697;51270;58971;39969;47324;49148;39226;0;45232;45569;0;43250;53124;52284;46522;40081;0;0;42394;39950;60374;45133;43590;40697;40085;44353;50327;52097;46154;46855;45636;47532;53099;46914;41492;40233;53191;56405;41840;0;46820;37406;48468;46964;47209;45699;52972;43641;0;50048;49966;57589;38240;41277;39032;51865;0;38100;80520;41606;38195;45047;48348;40437;46350;44167;47372;46285;45594;40457;48000;43142;48902;40649;48097;40113;40782;62097;41068;40838;54987;48407;42159;42685;0;51323;45413;36949;38520;43306;0;38696;40068;42364
918.5s : 256.263m/z;238927;126014;115227;91027;231699;0;110776;82519;88326;0;487279;94849;167950;83448;83837;86594;182627;0;80316;0;0;91919;106579;102938;87292;146281;217787;72503;191632;79312;112298;0;128276;77819;97071;0;895057;73502;98175;77796;136181;112454;0;193744;81427;86737;183559;102372;92309;200836;0;99629;98665;94844;286460;82656;0;126188;83308;0;103073;112927;89469;96100;142262;99741;137110;291237;121829;0;171055;108396;141536;99706;218002;0;0;106095;139233;87528;0;89510;83143;92924;124306;599017;0;102173;0;147812;0;78736;110480;0;83086;159561
37.7s : 141.959m/z;78338;98432;76009;0;66313;93992;70960;91131;0;88403;81586;63902;76821;91804;91276;79043;0;113201;0;0;0;0;118235;102949;77820;0;0;108142;0;105682;0;96367;82062;80675;0;102561;0;77459;0;71029;75762;133424;121200;94156;100055;0;137672;72450;92287;153127;0;105434;88644;96844;114613;98818;0;132751;113595;92449;0;98046;81310;110041;74905;95294;93937;102249;108329;0;123582;108770;0;74666;0;62010;0;116085;73577;102088;61006;106258;0;80326;60463;0;65878;114587;62942;73795;57028;89819;102125;64929;81459;0
1050.6s : 756.524m/z;0;27927;27609;34343;0;28682;30649;30674;28173;30539;24916;0;26985;30373;30823;31472;27560;28870;27444;0;0;0;32923;28529;27901;32245;0;31370;0;29873;0;26521;29987;30860;29501;27278;0;32079;29957;30232;0;27792;29211;0;27356;30587;37581;37998;30095;32520;27392;29790;31345;29509;0;0;25283;31697;25699;25210;29932;30553;23766;31070;0;30526;30368;0;29956;0;0;24687;0;24511;28642;0;29624;30647;0;30397;0;29297;28438;0;27563;0;0;29090;30507;25923;29394;23964;26617;0;0;0
835.1s : 309.203m/z;72459;109766;0;102895;133952;0;77868;0;74383;96643;79260;71539;79095;80134;73514;73692;83841;99215;102737;103907;0;0;0;72525;93288;84021;102551;79089;111459;75031;91172;100684;0;89542;90930;93136;82455;89080;72151;72931;75223;104873;82351;90443;91678;75691;110277;122608;70246;82417;106353;81291;85667;74515;90412;73649;0;94768;111283;68174;0;102555;71664;0;0;87952;0;0;98042;83132;85105;77463;0;85584;0;93331;0;73551;0;70356;94542;78461;76484;67032;79332;82934;108325;80902;73410;0;89537;65499;73362;104716;0;0
429.1s : 227.125m/z;129002;154713;230366;164535;233196;198250;107378;205394;214870;116764;137363;128297;122144;0;116484;118019;124308;150634;154056;131264;211042;197894;232723;0;105592;0;168990;145052;174749;152219;143534;123837;230713;133525;147038;126348;0;0;126233;126139;125933;150151;0;144185;0;0;192521;201625;132660;0;165930;150534;134693;128137;152276;146659;224417;138812;169402;210715;144824;150506;232693;209604;215776;139762;205046;186836;143814;141988;0;0;124900;0;226542;0;210663;122642;129764;118717;116604;0;0;121975;0;0;136213;125873;0;159671;128958;0;0;141964;0;204420
629.6s : 432.238m/z;44521;58705;51175;66020;58191;0;60876;0;0;46238;46245;46124;0;55357;64696;65360;66103;62628;56400;48261;45685;0;56763;64314;57358;0;0;0;46668;53418;0;64480;44125;48476;50557;65356;0;58316;55637;58558;0;58550;54731;0;60151;63303;69471;62345;59661;62239;75386;58886;70705;58515;0;0;62536;68655;56098;50581;61585;53651;0;0;0;47521;45227;0;56593;0;0;47845;41551;54998;48228;58663;0;0;0;0;56175;51162;58871;0;59975;45524;0;54882;49487;0;65766;0;66106;55784;0;53887
942.1s : 282.279m/z;581910;411642;308075;78718;460260;100760;193549;135425;175200;0;844535;113653;379531;85764;152019;0;531659;0;91386;117970;69436;248703;236601;96595;80431;207539;353792;93142;313134;154390;133227;0;171859;0;159068;0;3945860;0;281137;85003;258647;123598;100953;613906;0;130791;594005;256804;173015;218626;110020;288741;104709;131278;390244;141192;88006;287551;135800;76999;114123;366951;154273;157595;229791;249014;512106;763807;168858;109407;174972;189536;156242;96598;355951;0;83077;147075;271977;85755;0;66645;86334;92879;209022;606192;0;224759;0;419780;0;94521;314702;0;69515;435992
911.4s : 742.508m/z;0;30512;0;55897;109860;90828;53915;83577;35527;36114;84234;34978;82892;77855;53807;79601;0;0;38943;0;0;0;54882;40383;37264;47906;92080;73330;88528;64195;97629;36425;62109;37993;79096;0;74799;48500;63346;87710;81040;32429;0;85093;32539;44965;91908;92373;88503;42437;0;46043;39027;65300;96218;56396;0;43801;0;0;52203;0;0;46182;85009;86201;79382;81187;48128;70724;0;0;84035;0;36438;0;63801;0;0;78421;0;39105;32004;92072;0;0;0;58875;73920;73187;38838;90308;0;0;0;0
542.6s : 263.068m/z;0;113824;94202;122313;147230;85976;105407;80681;97107;106230;0;0;0;0;0;0;0;92543;104606;97273;0;0;82751;0;106156;95504;104000;95271;0;94419;0;90573;0;96293;95614;106630;83803;103769;81664;73176;0;101805;93665;0;105020;90355;150869;156081;0;77570;107553;84307;93319;0;0;0;0;77746;96613;0;0;89692;80244;0;0;87376;71561;0;88347;0;93749;87503;0;84464;0;90120;0;83916;0;0;89838;0;91199;0;84505;94127;111722;82599;89720;0;103421;0;0;98224;0;0
761.9s : 539.354m/z;90406;141288;0;85885;238252;0;77756;0;85936;97319;0;80193;112570;103204;0;0;0;83054;69639;86876;0;0;0;0;96765;69541;151579;87884;182830;0;0;157535;0;72215;72246;0;92356;94708;0;0;0;90618;113402;0;58269;77356;87501;135830;0;0;60735;0;60339;99214;0;73392;67248;64473;141866;0;66668;123255;58725;0;0;71391;0;0;0;96949;73436;105757;0;61406;0;108854;0;64474;0;89891;111364;0;61258;0;67429;130653;72789;0;93357;0;0;67029;88617;128407;0;0
571.8s : 327.008m/z;237991;258523;0;197882;552154;0;267035;0;0;213890;188249.1124;347626;292418;165755;134818;0;158008;145461;226504;255381;0;0;0;159050;216586;0;356201;172062.5528;394011;0;154144;275975;0;171057;154863;174164;250977;177925;0;199044;148077.7206;218589;249410;212420;177446.9653;236043;185325;335047;0;0;175671;167324;242814;389762;175436;265208;0;196363;272240;0;469541;272908;0;0;0;220321;0;0;0;225064;148434;225704;0;129253;0;199068;0;0;0;201294;195445;0;0;0;0;274833;166022;0;184779;0;129452;204147.4808;196019;222868;0;0
961.1s : 315.252m/z;0;994099;114298;121435;756311;0;0;0;543784;531763;0;0;747997;348678;176951;77496;93569;97814;82812;190504;0;131620;0;193464;231830;291066;140549;178286;669185;292461;0;1391463;0;625192;357925;103012;0;471647;104118;81948;0;609840;479461;0;82101;0;92707;154930;0;86136;0;0;0;0;0;0;1567458;122837;696387;0;0;585502;186123;0;0;0;0;0;0;496768;732066;177637;0;581392;0;393376;0;261710;88367;151622;290544;359681;172487;84710;111678;181440;165483;349906;442569;0;193160;0;83664;367839;0;70937
773.8s : 223.096m/z;0;179926;0;130621;229576;0;131553;0;108583;138349;114433;155959;152906;111893;0;0;103883;121106;133246;147432;0;0;0;0;112297;95764;169189;122175;176420;0;0;155841;0;119168;119748;0;137507;0;0;0;0;114736;129555;134274;115581;125518;112053;182189;0;0;112031;103802;131448;155036;115667;122400;123392;119152;168075;0;136015;174839;0;0;0;127271;0;0;0;127385;103431;132777;0;0;0;133654;0;88727;0;120180;130016;0;0;0;96940;145637;119753;0;100343;0;0;0;109621;149931;0;143400
750.9s : 203.107m/z;0;0;138183;0;180230;0;0;0;88741;140819;127953;131025;107145;0;0;0;0;0;102536;0;141680;0;120434;0;0;0;136842;97378;153437;114767;108261;0;135382;131263;0;0;0;93456;130217;161514;122421;93901;169255;107984;0;0;298417;306840;0;121527;102463;133009;178672;134810;0;103446;0;186251;109316;0;173645;143147;116211;0;112881;88145;0;0;141024;98997;178476;93248;92420;155630;0;0;0;168932;106825;0;138480;108457;0;0;107293;0;117209;88121;0;0;171780;0;0;172396;114567;0
773.6s : 873.409m/z;0;154851;0;136709;188339;0;138618;0;109661;130625;0;123756;113106;0;0;0;0;106193;119945;130093;0;0;0;0;115726;0;138109;110165;129979;0;0;142325;0;117667;97316;101861;0;89720;0;0;0;116610;90753;102192;118109;114999;134828;190181;0;0;117026;0;125569;106929;0;0;121900;114281;144655;82739;0;140590;88596;0;0;106255;0;0;0;95195;98307;118774;0;0;0;121583;0;0;0;0;121183;0;0;0;95642;129961;116999;0;0;0;0;0;101535;135508;0;125002
148.5s : 137.107m/z;0;0;0;74897;136393;87602;0;87753;68814;0;100094;93439;71974;0;87632;78319;0;0;73104;0;63284;0;63889;0;0;0;113253;90221;123492;112608;96436;0;73348;0;107366;0;85827;0;94422;95028;89952;0;0;97684;0;0;77801;80898;98569;0;0;97115;0;101231;87734;92228;0;0;0;0;115311;0;72484;0;97928;93260;103532;80783;60963;84854;0;0;98604;0;0;60649;99231;0;99661;88351;0;0;0;0;63067;0;68330;0;81318;0;0;92100;0;0;92936;0
773.7s : 889.381m/z;0;403856;0;298203;372886;0;297316;0;272981;337374;0;277519;280129;0;0;0;0;268357;313126;356248;0;0;0;0;286450;0;280314;258181;263005;0;0;370389;0;293831;237430;0;195530;0;0;0;0;0;232469;221341;290362;288785;313735;487255;0;0;301924;0;294537;256711;209607;0;300328;251240;380450;0;225023;343803;0;0;0;0;0;0;0;221972;0;325861;0;0;0;0;0;0;0;0;325186;0;0;0;0;349055;316475;0;0;0;0;0;256119;377327;0;340972
1017.5s : 283.263m/z;0;61391;104505;64958;75132;71175;0;109705;99983;0;78213;64435;0;0;0;0;0;0;64720;65169;110900;90830;99745;0;0;0;76326;67485;77808;69813;66652;0;122248;62519;78577;0;0;59076;0;0;0;0;57788;64038;0;0;70287;92619;0;0;0;62800;0;65281;72476;0;64888;0;78868;95365;69546;66286;111537;95645;97840;68675;87624;74908;71785;0;0;0;0;0;93416;0;100970;61621;0;62603;0;0;0;0;0;0;0;68655;62046;0;0;0;0;0;0;69166
1024.8s : 310.310m/z;221191;132793;769789;0;121565;141108;77994;557489;637290;0;113837;80235;230849;0;0;0;99616;0;0;0;603735;350436;991184;0;0;0;70661;0;80800;0;0;0;611351;0;0;0;381894;0;0;0;0;0;0;94493;0;0;96028;104023;0;0;0;61113;0;77469;95063;66809;346146;58401;91091;632322;76343;104564;640582;645830;492895;68896;1000066;256576;0;0;0;65878;0;0;396552;0;388930;0;0;0;0;0;0;0;0;206230;0;0;0;221729;0;0;73559;0;0;401280
835.0s : 287.222m/z;0;97269;0;83957;112206;0;0;0;0;79495;70271;0;0;0;0;0;0;84290;88213;89326;0;0;0;0;75532;0;0;66783;80478;0;0;84573;0;0;78601;77565;0;80861;0;0;0;88764;77982;0;78230;0;97780;114324;0;0;92195;73829;71302;74977;0;0;0;0;108534;0;0;97220;0;0;0;79091;0;0;84722;0;0;0;0;0;0;76629;0;0;0;0;86232;0;0;0;0;0;87549;0;72016;0;0;0;0;91463;0;0
569.6s : 323.146m/z;0;148268;0;153900;222087;0;0;0;0;77271;77130;0;0;0;0;0;0;0;73257;0;0;0;0;0;0;0;0;75801;192267;153067;0;0;0;85538;176288;77202;0;0;0;0;0;0;75733;76884;71328;0;192644;181711;71986;0;163676;0;0;0;0;0;0;0;0;0;0;77849;0;0;0;0;0;0;75238;76849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154436;0;0;0;0;0;0;86245;0;0
912.1s : 747.464m/z;0;0;0;0;67089;35951;0;34571;0;0;33546;0;33391;27198;0;0;0;0;0;0;0;0;0;0;0;0;56122;0;51168;0;51983;0;0;0;31218;0;42339;0;0;34037;40864;0;0;40563;0;0;32573;31778;33386;0;0;0;0;0;43982;0;0;0;0;0;0;0;0;0;37797;31440;28935;37187;0;35627;0;0;37601;0;0;0;0;0;0;28989;0;0;0;36816;0;0;0;0;0;33308;0;35161;0;0;28950;0
586.0s : 173.136m/z;136193;190597;165516;166883;195425;221120;119952;208688;200447;147171;123953;132487;105364;151246;133676;127082;109809;157848;140129;178627;172228;233586;187886;112213;174697;184350;180367;178104;151345;189788;142093;154412;191451;146459;214576;165519;158090;157449;149728;114118;122751;141486;106065;149299;139925;125493;63772;0;158658;132788;161898;155270;113729;117846;166650;132537;171555;91176;154518;224421;122751;134958;192507;207900;183663;177278;226309;171526;132391;161474;117672;132617;122304;118328;232529;143233;220938;113351;137432;183460;125252;139156;143669;139502;132396;131317;138526;175776;178181;122841;102032;107995;123365;121555;75905;189161
146.2s : 227.175m/z;6513189;1899430;2097631;2776874;5465149;2166752;3438960;2221832;2110950;2650701;576953;3604564;3508017;3435191;2521747;4122854;3886779;2632104;458193;424039;2302211;2013140;5406468;2606356;1600054;1759049;432155;2546716;432615;312290;3099276;2912039;3159309;2175667;302166;2230881;5607089;2170387;286702;3078636;3840588;544315;2743123;342527;2518484;2259840;0;0;3072345;1998128;2982711;2660140;3395772;3080879;411916;2788540;2851937;4018707;546976;3169010;3242391;3927976;2221636;2526954;3469035;2393559;2495333;5671927;1815196;3055619;2410786;2199597;3884177;1825616;3722239;1255939;2437870;780407;533115;2713241;1900513;2156316;3837370;2259081;486489;1801600;1973717;2369512;2620897;5047201;2527793;2955175;2874948;2412034;2669634;1657473
284.6s : 430.243m/z;182745;165849;98767;118741;277852;139379;123359;145187;97548;106252;157344;227772;162353;171922;162255;187216;222811;120443;99876;113072;93397;107877;171775;132829;128095;136975;224775;136202;262084;163317;256111;137552;144071;130487;163943;149681;227021;118177;179457;175354;246393;104748;136757;177432;127882;151928;0;0;165805;142539;106900;159094;165615;175102;136186;171018;112417;160260;87261;101377;205371;150150;83547;159433;177282;124386;160059;165376;142186;174935;115436;117311;135268;139814;171939;109458;138998;118355;177927;155771;107873;129347;149785;227998;134318;142988;100176;166907;155174;129746;115143;185495;158338;109594;185387;129764
689.4s : 161.096m/z;317585;407086;272539;410301;484656;358663;315533;352459;342244;350829;272756;305677;254419;345214;323965;300533;308592;346580;306003;369219;276059;361440;339866;327190;409481;392205;400143;402536;376256;401956;303380;389808;322137;346587;407481;361118;340902;345089;331627;287580;265880;302302;252239;308054;318338;328146;0;0;354992;261593;347918;302985;283144;335852;333312;285458;324912;207514;339577;338872;368815;311953;328781;312085;330508;317609;360286;296917;279971;339299;269011;350408;263565;267494;347096;338803;342948;246290;294213;383362;303207;318488;321676;323286;301866;357074;344902;349762;380309;193198;195106;305973;313764;295246;205710;348367
689.4s : 203.107m/z;313545;382799;276821;405808;499381;355078;315050;356709;334070;356569;272603;304117;250689;340330;323568;306856;306291;324759;298157;355708;271194;339547;332208;303824;401580;382183;405021;387275;373151;385979;298632;375031;322339;354783;411157;341877;333318;343254;326310;278286;259512;302174;240286;315801;310635;312144;0;0;341046;259200;336655;302041;265849;323324;319771;289735;308673;197770;330778;325938;362800;304718;308561;313472;317001;320836;346465;283906;262565;338972;267295;342847;262954;267510;343075;340985;338312;243444;292862;379990;303144;315916;323099;324562;287662;353247;335062;351236;380979;194179;202877;294246;317331;301261;196612;338682
689.4s : 276.159m/z;572345;690768;465996;711764;864335;602820;542293;591754;575086;601888;503309;535306;434547;605162;544294;519414;515542;604480;518250;636221;484393;642030;605753;548945;698149;701279;727019;686746;686457;718463;547092;666382;554417;614171;744201;613525;576996;595798;566386;496603;457428;534152;415427;545071;550352;533754;0;0;648233;439801;612629;522437;464101;591755;586448;501279;563003;333898;586231;574058;642938;522962;525670;537076;578907;567868;628844;535565;470878;620970;481917;588731;473339;471199;595450;626928;588057;415750;509178;685144;522227;533114;571613;574532;499877;643804;602470;616265;696783;324503;326778;546310;559460;523106;327602;604202
716.6s : 309.206m/z;184120;358748;95491;263856;242441;105775;230882;101364;165761;262822;168955;225081;239740;193761;180924;165084;203438;245837;250176;308398;99229;138397;108016;260342;265071;293924;312949;298434;207607;205167;166359;297254;119542;220765;231163;233679;267698;191370;158314;161895;142105;196346;166293;192984;242404;252352;0;0;172009;149403;240781;165454;170888;208428;206724;190271;143030;121970;346628;135229;214747;320598;123662;86823;132428;263197;130779;136788;183530;239227;220332;332638;128947;185109;140262;262161;142754;183914;142181;338339;207878;211270;211176;153232;198163;299243;218374;180646;209427;81094;95505;178228;252535;196661;89644;170211
969.3s : 286.201m/z;385048;363224;226979;285438;284810;474356;200670;343196;335999;224027;174047;148510;146917;284105;231819;162873;152867;255319;210472;345707;186445;428131;251707;142496;329196;379818;333749;340065;214153;287794;226338;258155;245023;249517;397393;322789;315111;259365;216152;151614;178635;215520;108201;254935;249340;216630;0;0;255541;188849;250450;192857;138362;173630;286959;189813;288921;93234;257998;384411;150128;181958;288496;338811;278826;297769;462603;290226;176162;296249;164277;257483;146614;152131;401143;229033;400294;142851;171535;403225;167141;240425;236079;230403;206221;258097;233485;311997;365688;120141;106460;177873;229563;150664;115578;287232
